index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
315,0,,,9,0,0,1,0,1,4,1,3,3,3,2,1,1,1,1,1,7,7,9,6,,1,0,15000,0,8,,,1,,0.037037037,0.333333333,0,2.5,2,0.285714286,0.285714286,0,0,0.571428571,0,,7.25
316,0,,,10,0,0,1,0,0,4,1,3,3,1,2,1,1,1,1,0,6,7,7,6,,1,1,0,0,8,,2,,,0.037037037,0.333333333,0,2.666666667,2,0.428571429,0,0,0,0.428571429,0,0,6.5
317,1,3,,11,0,0,1,1,0,3,1,3,3,2,3,1,1,1,1,1,9,9,9,9,,2,0,0,0,8,,1,2,,0.074074074,1,0.666666667,3,2,1,1,1,1,4,0,0,9
318,0,,,10,0,0,1,1,1,3,0,2,2,3,3,1,1,1,1,1,8,8,8,7,,2,1,0,0,7,1,1,1,2,0.037037037,1,0,2.666666667,1.666666667,1,1,1,1,4,0,0,7.75
319,0,,,9,0,1,0,1,1,2,0,,2,2,2,1,1,1,1,1,9,9,9,9,,1,1,0,0,8,,1,,,0,0.333333333,0,2.666666667,1,0.571428571,0.571428571,0.571428571,0.285714286,2,0,0,9
320,0,,,11,1,0,1,1,0,3,1,2,3,3,2,1,1,1,1,1,10,10,10,1,5,1,1,15000,0,8,,,3,,0.074074074,0.666666667,0.333333333,2.666666667,3,0.333333333,0.333333333,0.333333333,0.333333333,1.333333333,50000,0,7.75
321,1,2,,8,0,0,1,1,1,3,1,2,3,2,3,1,1,1,1,1,8,9,10,7,3,3,1,25000,0,6,,,2,,0.185185185,0.666666667,0.333333333,2.5,2,1,1,1,1,4,300000,0,8.5
322,0,,,9,0,0,1,1,0,3,1,3,3,3,3,1,1,1,1,1,9,9,10,8,,1,1,0,0,9,,,,,0.296296296,0.666666667,1,2.333333333,3,0.285714286,0.714285714,0.714285714,0.285714286,2,0,0,9
323,1,2,,11,0,0,1,1,1,2,1,3,3,2,2,1,1,1,1,1,8,8,8,8,1,2,1,0,0,9,,,2,,0.111111111,0.666666667,0.333333333,2.333333333,3.5,1,1,1,1,4,1087000,0,8
324,0,,,12,0,0,0,1,0,2,1,4,8,3,3,1,1,1,1,1,9,8,9,9,,1,1,25000,0,9,,2,1,,0.111111111,1,0.333333333,2.666666667,2,1,1,0.666666667,0.333333333,3,9999999998,0,8.75
325,1,1,,10,0,1,1,1,1,3,1,3,3,3,2,2,2,2,2,1,9,9,8,8,,3,0,9999998,0,8,,,2,,0.111111111,0.666666667,0,2.666666667,2,0.428571429,0.428571429,0.714285714,0.428571429,2,0,0,8.5
326,1,3,,10,0,1,1,1,1,3,1,3,3,3,2,2,1,1,1,1,8,8,8,8,2,2,1,0,0,8,,,2,,0.074074074,1,1,3,3,0.666666667,0.666666667,0.666666667,1,3,20000,0,8
327,0,,,11,1,0,0,1,0,2,0,2,2,2,2,1,1,1,1,1,8,7,8,7,2,2,1,200,0,9,1,,1,,0.111111111,0.666666667,1,2,1.5,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,2197300,0,7.5
328,0,,,11,0,1,0,1,1,3,0,3,3,2,3,1,1,1,1,1,7,8,8,6,,4,1,50000,0,9,,,2,,0.259259259,1,0.666666667,2.666666667,1.333333333,0.333333333,1,1,1,3.333333333,0,0,7.25
329,1,3,1,11,1,0,1,1,0,2,0,3,2,2,2,1,1,1,1,0,7,8,9,6,,1,0,0,0,7,,4,,,0.222222222,1,0.333333333,2.666666667,1.666666667,0,0.333333333,0.666666667,0,1,10000,0,7.5
330,1,2,,11,0,1,1,1,1,3,1,3,2,3,3,1,1,1,1,1,8,8,8,6,1,2,1,0,0,9,,,2,,0,0.666666667,1,2.333333333,2,0.333333333,0.666666667,0.666666667,1,2.666666667,13000,0,7.5
331,0,,,10,0,0,0,1,1,3,1,3,2,2,2,1,1,1,1,1,8,8,9,8,,3,1,0,0,7,,,3,,0.444444444,1,0.666666667,2.333333333,3,0.333333333,0.333333333,0.666666667,0.666666667,2,0,0,8.25
332,0,,,10,0,1,0,1,0,3,0,3,3,3,3,1,1,1,1,1,8,8,8,98,,2,1,0,0,7,,3,,,0,0,0.666666667,2.666666667,,1,1,1,0.428571429,3.428571429,0,0,30.5
333,0,,,11,0,1,0,1,1,3,1,3,2,2,2,1,1,1,1,1,8,8,8,8,,2,1,0,0,7,1,2,1,3,0.074074074,0.666666667,0,2.333333333,2,0,0,0,0,0,0,0,8
334,0,,,11,0,0,1,1,1,4,1,3,3,2,2,1,1,1,1,1,10,10,10,8,,2,1,0,0,9,,2,,,0.074074074,1,0,2.5,2.333333333,1,1,0.666666667,0.666666667,3.333333333,0,0,9.5
335,0,,,10,0,1,1,0,1,3,0,3,3,2,2,1,1,1,1,1,7,7,8,5,,4,1,0,0,8,,2,,,0.037037037,0.333333333,0.333333333,2.833333333,2,0.714285714,0.714285714,0.714285714,0.714285714,2.857142857,0,0,6.75
336,0,,,9,0,0,1,1,0,,0,3,2,2,3,1,1,1,1,1,7,7,7,6,2,,1,0,0,7,,1,1,,0,0,0,2.75,,0.666666667,0,0,0.333333333,1,25000,0,6.75
337,0,,,9,0,0,1,1,1,3,0,,3,3,3,1,1,1,1,1,10,10,10,10,,1,1,0,0,7,,2,,,0.074074074,0.666666667,0.666666667,2.833333333,1.5,0.285714286,0.285714286,0.571428571,0.571428571,1.714285714,0,0,10
338,1,3,,10,0,1,1,1,1,3,0,3,2,2,2,1,1,1,1,1,8,8,9,9,,,1,3000,0,7,,1,2,,0.148148148,0.666666667,0.666666667,3,2,1,1,1,1,4,0,0,8.5
339,0,,,13,0,0,1,0,0,2,0,2,3,2,3,1,1,1,1,1,10,10,9,5,1,2,0,0,0,9,,,4,,0.185185185,1,1,2.666666667,2.666666667,1,1,1,1,4,10000,0,8.5
340,0,,,11,0,1,1,1,1,3,1,3,3,3,3,1,1,1,1,0,9,9,9,9,5,1,1,0,0,7,,,4,,0.074074074,1,0.666666667,2.666666667,1.333333333,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,56000000,0,9
341,0,,,10,0,0,0,1,0,,1,3,3,2,3,1,1,1,1,1,9,9,9,9,,1,0,0,0,7,,,3,,0.074074074,0.666666667,0.666666667,3,1.5,1,0.333333333,0.666666667,0,2,0,0,9
342,0,,,11,0,0,1,1,0,2,0,3,3,2,3,1,1,1,1,1,8,8,8,6,2,3,0,0,0,9,,,2,,0,0,1,2.666666667,,1,1,1,1,4,25000,0,7.5
343,0,,,9,0,1,0,0,0,8,0,8,3,3,3,1,1,1,1,1,8,8,8,8,,2,0,500,0,6,1,2,,3,0.111111111,1,0,2.666666667,2.666666667,0,0,0,0,0,0,,8
344,1,3,2,11,1,0,1,1,1,3,1,3,3,3,2,1,1,1,1,1,10,10,10,3,,2,1,60000,0,8,,3,,,0.074074074,1,0.666666667,2.333333333,2,1,0.571428571,0.571428571,0.571428571,2.714285714,2500000,0,8.25
345,1,2,,12,0,0,1,0,0,1,0,,2,3,2,1,1,1,1,1,10,9,10,98,5,2,1,0,0,10,,,2,,0.185185185,0.666666667,0.666666667,2.333333333,1,0.666666667,0.666666667,0.666666667,0.333333333,2.333333333,5380000,0,31.75
346,0,,,10,0,0,0,1,0,3,0,2,3,2,2,1,1,1,1,1,9,9,9,7,5,3,1,0,0,8,,2,,,0,0,0.5,3,,1,0.333333333,0.666666667,0.333333333,2.333333333,50000,0,8.5
347,0,,,10,0,0,1,1,0,2,0,3,2,2,2,1,1,1,1,1,10,9,9,8,6,2,1,0,0,7,,3,,,0.148148148,1,0.666666667,2.333333333,2,0.666666667,0.333333333,0.666666667,1,2.666666667,606000,0,9
348,1,3,,10,0,1,1,1,1,4,1,3,3,3,3,1,1,1,1,1,7,9,9,97,,3,1,0,0,7,,,3,,0.166666667,1,0.5,3,1.5,0.333333333,0.333333333,0.666666667,0,1.333333333,0,0,30.5
349,1,3,,10,0,0,1,1,1,3,1,3,3,2,2,1,1,1,1,1,8,9,9,7,1,1,1,0,0,8,,,2,,0.148148148,1,1,2.666666667,1.333333333,1,0.571428571,0.285714286,0.714285714,2.571428571,1000000,0,8.25
350,1,2,,11,0,0,0,1,1,3,1,4,3,3,2,1,1,1,1,1,8,8,8,6,,2,1,0,0,7,,2,2,,0.111111111,0.333333333,0,3,3,0,1,1,1,3,9999999998,0,7.5
351,0,,,11,0,0,1,1,0,,1,3,2,2,2,1,1,1,1,0,10,10,10,1,,1,1,0,0,7,,4,,,0.037037037,0.333333333,0.666666667,2.666666667,1,0,0,0,0.333333333,0.333333333,0,0,7.75
352,0,,,10,0,0,1,1,1,3,0,,3,3,3,1,1,1,1,1,8,8,8,7,1,1,0,0,0,8,,,2,,0.037037037,1,0.333333333,3.333333333,1.333333333,0.333333333,0.666666667,0.333333333,0.666666667,2,1500000,,7.75
353,0,,,10,0,1,1,0,0,,0,,3,,3,1,1,1,1,0,9,9,8,9,1,2,1,20000,0,7,,,3,,0.074074074,0.333333333,1,3,3,1,1,0.5,0.25,2.75,100000,0,8.75
354,1,3,,9,0,0,1,1,0,3,0,,3,2,3,2,2,1,1,0,10,10,10,9,,3,1,0,0,7,,,2,,0.185185185,1,0,3.333333333,2,0.333333333,0.666666667,0.666666667,0.333333333,2,0,0,9.75
355,0,,,10,0,0,1,1,1,3,0,2,3,,2,2,1,1,1,1,8,8,9,8,,2,1,0,0,5,,3,2,,0,0.333333333,0,2.333333333,1,0.571428571,0,0,0.285714286,0.857142857,0,0,8.25
356,0,,,13,0,1,0,1,1,2,1,2,3,2,2,1,1,1,1,0,7,7,7,7,,,0,0,0,9,,1,3,,0.185185185,1,0,2.333333333,2.333333333,0.333333333,0,0,0,0.333333333,0,,7
357,1,3,,9,0,1,1,1,1,3,1,3,3,2,2,1,1,1,1,1,7,7,9,7,,1,0,500,0,6,,,3,,0.037037037,0.666666667,0.666666667,2.666666667,3,0,0,0.666666667,0.333333333,1,0,,7.5
358,1,3,,10,0,0,0,0,1,4,0,,2,2,2,2,2,1,1,1,1,10,10,1,,2,1,0,0,6,,,4,,0,0,1,2.666666667,,0,0.666666667,0.666666667,0,1.333333333,0,0,5.5
359,1,3,2,11,0,0,1,1,1,3,0,2,3,2,2,1,1,1,1,1,8,8,8,2,,1,1,0,0,8,,3,,,0.037037037,1,0.666666667,3,2,1,1,1,0.666666667,3.666666667,2500,0,6.5
360,0,,,14,0,0,1,1,1,4,1,2,3,2,3,1,3,1,1,0,8,8,9,8,3,3,0,0,0,11,,,3,,0.037037037,0.666666667,0.333333333,2.666666667,2,0.666666667,0.666666667,0.333333333,0.333333333,2,30000,0,8.25
361,0,,,11,0,0,1,1,1,3,1,3,3,3,3,1,1,1,1,1,9,9,10,9,,1,1,0,0,6,,4,1,,0.148148148,1,0.333333333,3,1.333333333,1,0.75,0.75,0.75,3.25,0,0,9.25
362,1,3,,10,0,0,0,1,1,3,1,3,2,2,3,1,1,1,1,1,10,10,10,8,,2,0,0,0,8,,,2,,0.111111111,1,0.666666667,2.666666667,3,1,1,0.666666667,0.666666667,3.333333333,0,0,9.5
363,0,,,11,1,0,1,1,0,,0,3,3,,2,1,1,1,1,1,8,9,8,8,7,1,1,0,0,5,,,6,,0.259259259,1,0.666666667,2.333333333,2.333333333,0.666666667,1,0.666666667,0.333333333,2.666666667,70000,0,8.25
364,0,,,10,0,0,1,0,0,8,0,2,3,,3,1,1,1,1,1,9,9,10,8,,4,1,0,0,8,,,2,,0.037037037,0.333333333,1,2.666666667,2,1,1,0.666666667,0.333333333,3,0,0,9
365,0,,1,8,0,0,1,1,0,3,0,3,2,3,3,1,1,1,1,1,8,8,8,8,7,1,1,0,0,6,,,2,,0.148148148,0.666666667,0.666666667,2.333333333,2.5,1,1,1,0,3,125075000,0,8
366,0,,,9,0,0,0,0,0,2,0,,3,,3,1,1,1,1,1,9,9,9,9,,1,1,0,0,6,,,3,,0.111111111,0.666666667,0.666666667,3,2,0.666666667,0.666666667,0.666666667,0,2,0,0,9
367,0,,,9,0,0,1,1,0,2,0,2,2,,2,1,1,1,1,0,9,9,9,9,4,2,0,0,0,5,,,4,,0.148148148,0.666666667,1,2.666666667,2.5,1,0.666666667,0.666666667,0.333333333,2.666666667,4000000,,9
368,0,,1,9,1,1,1,0,1,3,0,1,3,,3,1,1,1,1,1,9,8,9,6,,3,1,0,0,5,,,4,,0.037037037,0.333333333,0.666666667,2.666666667,2,0.625,0,0,0,0.625,15000,0,8
369,0,,,10,0,0,1,1,0,2,0,3,2,2,2,1,1,1,1,1,8,8,8,5,,4,1,0,0,6,,,4,,0.074074074,0.333333333,0.333333333,2.333333333,3,0.666666667,0,0,0.333333333,1,0,0,7.25
370,0,,,7,0,0,1,1,1,3,1,3,3,3,2,1,1,1,1,1,9,9,9,8,,1,1,400000,0,7,,,,,0.074074074,0.666666667,1,3,3,0,0.333333333,0.333333333,0,0.666666667,0,0,8.75
371,0,,,8,0,0,1,1,0,,0,,4,3,3,1,1,1,1,1,10,10,10,10,,2,1,0,0,6,,,2,,0.111111111,1,0.333333333,2.666666667,2,0.333333333,0.333333333,0,0,0.666666667,0,0,10
372,0,,,10,0,1,1,1,1,3,0,1,3,,3,1,1,1,1,1,8,8,8,6,2,3,1,0,0,8,,,2,,0.111111111,0.666666667,1,2.333333333,2.5,1,1,0.666666667,0.666666667,3.333333333,20000,0,7.5
373,0,,,7,1,0,1,1,0,3,0,3,3,,3,1,1,1,1,1,8,9,9,9,,1,0,0,0,7,,,,,0.185185185,0.666666667,0.666666667,2,2.5,1,0.666666667,0.666666667,0.666666667,3,0,,8.75
374,0,,,11,1,1,1,1,1,3,1,3,3,2,2,1,1,1,1,1,7,9,9,8,,1,1,0,0,7,,,4,,0.037037037,0.666666667,1,3,2,0.666666667,0.333333333,0.333333333,0,1.333333333,0,0,8.25
375,0,,,10,0,0,1,1,1,3,0,2,3,,2,2,1,1,1,1,,,,,1,3,0,0,0,8,,,2,,0.074074074,1,0.666666667,3,2.666666667,0.666666667,0.666666667,0.333333333,0.333333333,2,1900000,0,
376,0,,7,11,0,0,1,1,0,2,1,2,2,2,2,1,1,1,1,1,10,10,10,10,,1,1,0,0,10,,,1,,0.148148148,1,0.666666667,2.333333333,2,1,0.666666667,0.666666667,0.333333333,2.666666667,7100000,0,10
377,0,,,10,1,1,1,1,1,2,1,3,2,3,2,1,1,1,1,1,10,9,10,10,,3,1,0,0,8,,,2,,0.074074074,1,0.666666667,3,2,0,0,0,0,0,0,0,9.75
378,0,,,11,0,0,1,1,1,3,1,2,2,3,2,1,1,1,1,1,9,8,9,8,5,3,1,0,0,10,,1,,,0.185185185,1,1,3,2,1,0.666666667,0.666666667,0.666666667,3,5400000,0,8.5
379,1,3,,9,0,0,1,1,0,1,0,2,3,,2,1,1,1,1,1,,,,,2,3,1,0,0,8,,,1,,0.148148148,1,0.333333333,2.666666667,2,1,1,1,1,4,2850000,0,
380,0,,,9,1,0,1,1,0,3,0,3,3,2,3,2,1,1,1,1,8,8,8,7,,2,0,0,0,7,,,2,,0.111111111,1,1,2.333333333,3,1,0,1,0,2,0,0,7.75
381,0,,1,7,0,0,1,1,0,8,0,8,2,1,2,1,1,1,1,1,8,8,9,6,,2,0,0,0,7,,,,,0.074074074,0.666666667,0.333333333,3,4,1,1,1,1,4,18000,0,7.75
382,0,,,7,0,0,1,1,1,2,1,2,2,3,3,2,2,2,2,1,8,8,8,8,5,2,1,0,0,7,,,,,0.111111111,1,0,3,4,0,0.333333333,0.333333333,0,0.666666667,550000,0,8
383,1,3,,9,1,1,1,1,0,3,1,3,3,,3,1,1,1,1,1,,,,,3,2,0,0,0,9,,,,,0.074074074,0.666666667,1,3,4,1,1,1,1,4,3000000,0,
384,1,3,,8,0,0,1,1,0,2,1,3,3,3,3,1,1,1,1,1,9,9,9,9,,3,1,0,0,8,,,,,0.074074074,1,1,2.666666667,3,1,1,1,1,4,0,0,9
385,0,,,8,0,0,1,1,0,2,0,3,3,3,2,1,1,1,1,0,8,8,9,8,,1,1,0,0,8,,,,,0.074074074,1,1,3,1.666666667,1,1,1,1,4,0,0,8.25
386,0,,,9,0,0,1,1,0,3,0,3,3,3,2,1,1,1,1,0,7,8,9,9,,2,1,0,0,9,,,,,0.037037037,0.333333333,1,2.333333333,3,1,0.666666667,0.333333333,0.666666667,2.666666667,0,0,8.25
387,0,,,9,0,0,1,1,0,2,0,2,2,,2,1,1,1,1,1,8,9,9,8,2,2,1,20000,0,8,,,1,,0,0,0,2.666666667,,0.375,0.25,0.25,0,0.875,25000,0,8.5
388,0,,2,11,0,0,0,1,0,,1,3,2,,3,1,1,1,1,1,4,5,5,3,,5,1,0,0,8,,,3,,0.259259259,1,0.666666667,2.833333333,4,0.285714286,0,0,0,0.285714286,25000,0,4.25
389,0,,,9,0,0,1,1,0,2,0,3,2,,2,2,1,1,1,0,9,9,9,7,,1,1,0,0,8,,,1,,0.185185185,0.666666667,0.666666667,2.666666667,2,0.428571429,0.428571429,0.714285714,0.428571429,2,0,0,8.5
390,0,,,8,0,0,1,1,0,2,0,2,3,,3,1,1,1,1,1,8,8,8,8,,2,0,0,0,5,,2,1,,0.148148148,0.666666667,0.666666667,2.666666667,3.5,0.666666667,0.666666667,0.333333333,0,1.666666667,0,0,8
391,0,,4,8,0,1,1,1,1,2,1,3,2,3,2,1,1,1,1,1,8,9,9,7,,2,0,0,0,5,,,3,,0.037037037,0.333333333,0.666666667,2.333333333,3,1,0,0.666666667,0.333333333,2,13000000,,8.25
392,0,,,12,0,0,1,1,0,2,0,2,3,,2,1,1,1,1,1,8,8,10,3,,1,1,0,0,7,,,5,,0.074074074,1,1,2.666666667,2,1,0.25,0.375,0.375,2,0,0,7.25
393,0,,,7,0,0,1,1,1,2,1,3,2,2,2,1,1,1,1,0,9,9,9,8,,1,0,0,0,7,,,,,0.111111111,1,1,3,3.333333333,1,1,1,1,4,0,,8.75
394,0,,,8,0,0,1,1,1,3,1,4,2,,2,1,1,1,1,1,8,9,8,9,,2,1,5000,1,5,,,2,,0.037037037,0.333333333,0.666666667,2.5,2,0.375,0.375,0.375,0.375,1.5,0,0,8.5
395,0,,,9,0,1,1,0,0,3,1,3,3,,2,1,1,1,1,0,8,8,8,7,,1,1,0,0,9,,,,,0.037037037,0.333333333,0.333333333,2.666666667,1,0.714285714,0.428571429,0,0,1.142857143,0,0,7.75
396,1,2,1,6,0,1,1,1,1,3,0,3,3,,2,1,1,1,1,1,9,9,9,8,,1,1,4000,0,6,,,,,0.037037037,0.666666667,1,2,2.5,1,0.571428571,0.285714286,0.285714286,2.142857143,100000,0,8.75
397,0,,,9,0,0,1,1,0,2,0,2,3,,2,1,1,1,1,1,9,8,9,7,1,1,1,0,0,8,,,1,,0.074074074,1,0.666666667,1.333333333,1.666666667,0.714285714,1,0.428571429,0.714285714,2.857142857,100000,0,8.25
398,0,,,8,0,0,1,0,1,2,1,2,3,,3,1,1,1,1,1,9,9,9,8,,2,1,0,0,6,,,2,,0.185185185,1,1,2.666666667,1.666666667,0.333333333,1,0.333333333,0.333333333,2,0,0,8.75
399,0,,,10,0,0,1,1,0,2,0,,2,2,2,1,1,1,1,0,9,10,10,5,5,1,1,0,0,7,,,3,,0.111111111,1,0.333333333,2.333333333,1.666666667,0.666666667,0.666666667,0.666666667,0.666666667,2.666666667,5520000,0,8.5
400,0,,,8,0,0,1,1,0,,0,8,2,2,2,1,1,1,1,1,8,8,8,8,5,1,1,0,0,8,,,,,0.037037037,1,1,3,2,1,1,1,1,4,5750000,0,8
401,0,,,12,0,0,1,1,0,3,0,2,2,2,3,1,1,1,1,1,8,8,8,7,4,1,1,0,0,8,,,4,,0.074074074,1,1,2.333333333,3,1,1,1,1,4,4675000,0,7.75
402,0,,,,0,0,0,0,0,,0,,,,,,,,,0,,,,,,,0,0,0,,,,,,0,0.333333333,0,2.666666667,2,0.25,0.25,0.25,0.25,1,0,,
403,0,,,9,0,0,1,1,0,2,0,2,2,2,2,1,1,1,1,0,7,8,8,5,7,1,1,0,0,7,,,2,,0.074074074,0.666666667,0.666666667,2.333333333,2,0.571428571,1,0.285714286,0.571428571,2.428571429,7480000,0,7
404,0,,,8,0,1,1,1,0,2,1,3,2,2,2,1,1,1,1,0,8,8,8,7,4,1,1,0,0,7,,,1,,0.037037037,1,0,2.666666667,2,0.714285714,0.428571429,0.428571429,0.428571429,2,4250000,0,7.75
405,0,,1,7,0,0,1,1,1,3,0,3,2,2,2,1,1,1,1,1,9,9,9,9,,1,1,0,0,7,,,,,0.111111111,0.666666667,0.666666667,2.5,3,1,0.571428571,0.571428571,0.571428571,2.714285714,10000,0,9
406,0,,,6,0,0,1,1,0,1,0,2,2,3,3,1,1,1,1,1,10,10,10,7,,1,0,0,0,6,,,,,0.148148148,0.666666667,0.666666667,2.666666667,2,1,0.666666667,0.333333333,0.333333333,2.333333333,0,0,9.25
407,0,,,9,0,0,1,1,1,2,1,2,3,2,3,1,1,1,1,1,9,10,9,8,,2,1,0,0,8,,,1,,0.111111111,0.666666667,0.333333333,2.666666667,2,0,0,0,0.285714286,0.285714286,90000,0,9
408,0,,,7,0,0,1,1,0,3,0,3,2,2,2,1,1,1,1,1,8,10,10,8,,2,1,0,0,4,,,3,,0.074074074,0.666666667,0.666666667,2.666666667,2,0.285714286,0,0,0,0.285714286,0,0,9
409,0,,,7,0,0,1,1,0,1,0,2,2,2,2,1,1,1,1,1,9,10,10,8,,2,1,0,0,4,,,3,,0,0,0.666666667,2.333333333,,1,1,0.714285714,0.714285714,3.428571429,0,0,9.25
410,0,,1,6,0,0,0,1,1,2,1,2,3,2,2,1,1,1,1,0,8,8,8,8,,1,0,0,0,3,,,3,,0.037037037,1,0,3,1.666666667,1,0,0,0,1,15000,0,8
411,0,,,8,0,0,1,1,0,8,0,2,3,2,2,1,1,1,1,1,9,8,9,8,1,1,1,0,0,6,,,2,,0,0,0.666666667,3,,0,0,0,0,0,10000,0,8.5
412,0,,1,9,0,0,1,1,0,2,0,2,3,2,3,1,1,1,1,1,8,9,9,8,6,1,1,0,0,6,,,3,,0.037037037,0.333333333,1,2,2,0.285714286,0.285714286,0.285714286,0.285714286,1.142857143,6588000,0,8.5
413,0,,,9,0,0,1,1,0,1,0,3,2,3,3,1,1,1,1,1,8,8,9,9,5,3,1,0,0,6,,,3,,0.074074074,0.666666667,0.333333333,2.5,3,1,0.571428571,0.571428571,0.285714286,2.428571429,50000,0,8.5
414,0,,,9,0,0,1,1,1,3,0,2,3,3,2,1,1,1,1,1,7,8,7,6,5,2,1,0,0,5,,,4,,0.148148148,1,0.666666667,2.666666667,2,0.666666667,0.333333333,0.666666667,0.666666667,2.333333333,50000,0,7
415,0,,,8,0,0,1,0,0,3,0,3,2,2,2,1,1,2,1,1,8,8,9,8,,4,0,0,0,2,,,6,,0.148148148,1,1,2,2.333333333,1,0.666666667,0.666666667,0.333333333,2.666666667,0,,8.25
416,0,,,10,0,1,1,1,0,2,1,3,2,2,3,1,1,1,1,0,9,9,9,9,5,4,1,0,0,6,,1,3,,0.092592593,0.333333333,1,2.833333333,2.5,0.785714286,0.642857143,0.5,0.214285714,2.142857143,50000,0,9
417,0,,,,0,0,0,0,0,,0,,,,,,,,,0,,,,,,,0,0,0,,,,,,0.222222222,1,1,3,1,1,1,1,0,3,0,,
418,0,,,8,1,0,1,1,1,3,0,3,3,3,2,1,1,1,1,1,8,8,8,8,5,2,1,0,0,5,,3,,,0.111111111,1,1,3,2.333333333,1,1,1,1,4,505000,0,8
